indicator,Type of disaster,Indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Barbados,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,1990,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,1991,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Cuba,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Dominican Republic,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Montserrat,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Trinidad and Tobago,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Montserrat,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Montserrat,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Dominican Republic,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Dominica,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Guadeloupe,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Honduras,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,1990,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,1991,4,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Cuba,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Montserrat,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Trinidad and Tobago,1997,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Costa Rica,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Montserrat,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Barbados,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Honduras,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Saint Lucia,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Geophysical,Number of events,Martinique,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Trinidad and Tobago,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Saint Vincent and the Grenadines,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Montserrat,1996,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Montserrat,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Montserrat,2006,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Martinique,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Costa Rica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Dominica,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Costa Rica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Costa Rica,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Volcanic eruptions,Number of events,Costa Rica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Guadeloupe,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Honduras,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Honduras,2009,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Earthquakes,Number of events,Saint Lucia,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Anguilla,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Anguilla,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,1990,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,1999,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,2008,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Antigua and Barbuda,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,2002,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Barbados,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1991,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1993,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1994,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1996,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1998,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2000,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2002,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2004,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2005,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2007,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2008,4,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2010,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2012,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2015,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2018,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Costa Rica,2021,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1990,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1992,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1993,4,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1994,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1995,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1996,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1997,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1998,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,1999,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2000,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2001,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2002,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2003,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2004,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2005,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2006,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2007,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2008,5,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2012,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2013,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2015,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2016,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2018,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2019,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2020,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Cuba,2021,3,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,1995,2,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,2011,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,2015,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Dominica,2017,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Grenada,1990,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Grenada,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Grenada,2004,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Grenada,2010,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,1990,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,1995,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,1998,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,1999,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,2007,1,Number,,742
"Number of disasters, deaths and directly affected persons, by type of disasters",Climate change related,Number of events,Guadeloupe,2017,1,Number,,742
