Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
238364,238365,1952269N11157,WP,MM,POLLY,11.0,157.0,0,0,1952,9,24,1952/09/24 04:00:00+00
238365,238366,1952269N11157,WP,MM,POLLY,11.25,156.35,0,0,1952,9,24,1952/09/24 04:00:00+00
238366,238367,1952269N11157,WP,MM,POLLY,11.5,155.7,0,0,1952,9,24,1952/09/24 04:00:00+00
238367,238368,1952269N11157,WP,MM,POLLY,11.76,155.05,0,0,1952,9,24,1952/09/24 04:00:00+00
238368,238369,1952269N11157,WP,MM,POLLY,12.0,154.4,0,0,1952,9,25,1952/09/25 04:00:00+00
238369,238370,1952269N11157,WP,MM,POLLY,12.21,153.74,0,0,1952,9,25,1952/09/25 04:00:00+00
238370,238371,1952269N11157,WP,MM,POLLY,12.4,153.1,0,0,1952,9,25,1952/09/25 04:00:00+00
238371,238372,1952269N11157,WP,MM,POLLY,12.61,152.48,0,0,1952,9,25,1952/09/25 04:00:00+00
238372,238373,1952269N11157,WP,MM,POLLY,12.8,151.9,0,0,1952,9,25,1952/09/25 04:00:00+00
238373,238374,1952269N11157,WP,MM,POLLY,12.96,151.39,0,0,1952,9,25,1952/09/25 04:00:00+00
238374,238375,1952269N11157,WP,MM,POLLY,13.1,150.9,0,0,1952,9,25,1952/09/25 04:00:00+00
238375,238376,1952269N11157,WP,MM,POLLY,13.25,150.37,0,0,1952,9,25,1952/09/25 04:00:00+00
238376,238377,1952269N11157,WP,MM,POLLY,13.4,149.8,0,0,1952,9,26,1952/09/26 04:00:00+00
238377,238378,1952269N11157,WP,MM,POLLY,13.55,149.22,0,0,1952,9,26,1952/09/26 04:00:00+00
238378,238379,1952269N11157,WP,MM,POLLY,13.7,148.6,0,0,1952,9,26,1952/09/26 04:00:00+00
238379,238380,1952269N11157,WP,MM,POLLY,13.85,147.96,0,0,1952,9,26,1952/09/26 04:00:00+00
238380,238381,1952269N11157,WP,MM,POLLY,13.8,148.17,25,0,1952,9,26,1952/09/26 04:00:00+00
238381,238382,1952269N11157,WP,MM,POLLY,13.82,147.86,27,0,1952,9,26,1952/09/26 04:00:00+00
238382,238383,1952269N11157,WP,MM,POLLY,13.87,147.36,30,0,1952,9,26,1952/09/26 04:00:00+00
238383,238384,1952269N11157,WP,MM,POLLY,13.94,146.75,30,0,1952,9,26,1952/09/26 04:00:00+00
238384,238385,1952269N11157,WP,MM,POLLY,14.13,146.03,30,0,1952,9,27,1952/09/27 04:00:00+00
238385,238386,1952269N11157,WP,MM,POLLY,14.45,145.4,32,0,1952,9,27,1952/09/27 04:00:00+00
238386,238387,1952269N11157,WP,MM,POLLY,14.85,144.82,35,0,1952,9,27,1952/09/27 04:00:00+00
238387,238388,1952269N11157,WP,MM,POLLY,15.24,144.29,35,0,1952,9,27,1952/09/27 04:00:00+00
238388,238389,1952269N11157,WP,MM,POLLY,15.63,143.8,35,0,1952,9,27,1952/09/27 04:00:00+00
238389,238390,1952269N11157,WP,MM,POLLY,15.98,143.3,37,0,1952,9,27,1952/09/27 04:00:00+00
238390,238391,1952269N11157,WP,MM,POLLY,16.36,142.86,40,0,1952,9,27,1952/09/27 04:00:00+00
238391,238392,1952269N11157,WP,MM,POLLY,16.84,142.48,40,0,1952,9,27,1952/09/27 04:00:00+00
238392,238393,1952269N11157,WP,MM,POLLY,17.37,142.22,40,0,1952,9,28,1952/09/28 04:00:00+00
238393,238394,1952269N11157,WP,MM,POLLY,17.87,142.13,40,0,1952,9,28,1952/09/28 04:00:00+00
238394,238395,1952269N11157,WP,MM,POLLY,18.37,142.14,40,0,1952,9,28,1952/09/28 04:00:00+00
238395,238396,1952269N11157,WP,MM,POLLY,18.85,142.13,40,0,1952,9,28,1952/09/28 04:00:00+00
238396,238397,1952269N11157,WP,MM,POLLY,19.32,142.12,40,0,1952,9,28,1952/09/28 04:00:00+00
238397,238398,1952269N11157,WP,MM,POLLY,19.75,142.08,42,0,1952,9,28,1952/09/28 04:00:00+00
238398,238399,1952269N11157,WP,MM,POLLY,20.15,142.03,45,0,1952,9,28,1952/09/28 04:00:00+00
238399,238400,1952269N11157,WP,MM,POLLY,20.48,141.98,45,0,1952,9,28,1952/09/28 04:00:00+00
238400,238401,1952269N11157,WP,MM,POLLY,20.9,141.9,45,0,1952,9,29,1952/09/29 04:00:00+00
238401,238402,1952269N11157,WP,MM,POLLY,21.58,141.77,45,0,1952,9,29,1952/09/29 04:00:00+00
238402,238403,1952269N11157,WP,MM,POLLY,22.35,141.6,45,0,1952,9,29,1952/09/29 04:00:00+00
238403,238404,1952269N11157,WP,MM,POLLY,23.04,141.42,47,0,1952,9,29,1952/09/29 04:00:00+00
238404,238405,1952269N11157,WP,MM,POLLY,23.68,141.23,50,0,1952,9,29,1952/09/29 04:00:00+00
238405,238406,1952269N11157,WP,MM,POLLY,24.26,141.07,50,0,1952,9,29,1952/09/29 04:00:00+00
238406,238407,1952269N11157,WP,MM,POLLY,24.79,140.94,50,0,1952,9,29,1952/09/29 04:00:00+00
238407,238408,1952269N11157,WP,MM,POLLY,25.3,140.83,52,0,1952,9,29,1952/09/29 04:00:00+00
238408,238409,1952269N11157,WP,MM,POLLY,25.82,140.78,55,0,1952,9,30,1952/09/30 04:00:00+00
238409,238410,1952269N11157,WP,MM,POLLY,26.33,140.81,55,0,1952,9,30,1952/09/30 04:00:00+00
238410,238411,1952269N11157,WP,MM,POLLY,26.93,140.92,55,0,1952,9,30,1952/09/30 04:00:00+00
238411,238412,1952269N11157,WP,MM,POLLY,27.73,141.09,55,0,1952,9,30,1952/09/30 04:00:00+00
238412,238413,1952269N11157,WP,MM,POLLY,28.62,141.33,55,0,1952,9,30,1952/09/30 04:00:00+00
238413,238414,1952269N11157,WP,MM,POLLY,29.43,141.64,57,0,1952,9,30,1952/09/30 04:00:00+00
238414,238415,1952269N11157,WP,MM,POLLY,30.3,142.02,60,0,1952,9,30,1952/09/30 04:00:00+00
238415,238416,1952269N11157,WP,MM,POLLY,31.3,142.44,62,0,1952,9,30,1952/09/30 04:00:00+00
238416,238417,1952269N11157,WP,MM,POLLY,32.37,142.95,65,0,1952,10,1,1952/10/01 04:00:00+00
238417,238418,1952269N11157,WP,MM,POLLY,33.46,143.54,67,0,1952,10,1,1952/10/01 04:00:00+00
238418,238419,1952269N11157,WP,MM,POLLY,34.48,144.2,70,0,1952,10,1,1952/10/01 04:00:00+00
238419,238420,1952269N11157,WP,MM,POLLY,35.34,144.9,70,0,1952,10,1,1952/10/01 04:00:00+00
238420,238421,1952269N11157,WP,MM,POLLY,35.98,145.62,70,0,1952,10,1,1952/10/01 04:00:00+00
238421,238422,1952269N11157,WP,MM,POLLY,36.41,146.28,70,0,1952,10,1,1952/10/01 04:00:00+00
238422,238423,1952269N11157,WP,MM,POLLY,36.67,146.93,70,0,1952,10,1,1952/10/01 04:00:00+00
238423,238424,1952269N11157,WP,MM,POLLY,36.88,147.5,67,0,1952,10,1,1952/10/01 04:00:00+00
238424,238425,1952269N11157,WP,MM,POLLY,37.07,148.18,65,0,1952,10,2,1952/10/02 04:00:00+00
238425,238426,1952269N11157,WP,MM,POLLY,37.27,149.12,62,0,1952,10,2,1952/10/02 04:00:00+00
238426,238427,1952269N11157,WP,MM,POLLY,37.54,150.19,60,0,1952,10,2,1952/10/02 04:00:00+00
238427,238428,1952269N11157,WP,MM,POLLY,37.92,151.21,55,0,1952,10,2,1952/10/02 04:00:00+00
238428,238429,1952269N11157,WP,MM,POLLY,38.28,152.32,50,0,1952,10,2,1952/10/02 04:00:00+00
238429,238430,1952269N11157,WP,MM,POLLY,38.45,153.76,47,0,1952,10,2,1952/10/02 04:00:00+00
238430,238431,1952269N11157,WP,MM,POLLY,38.55,155.12,45,0,1952,10,2,1952/10/02 04:00:00+00
238431,238432,1952269N11157,WP,MM,POLLY,38.59,156.06,42,0,1952,10,2,1952/10/02 04:00:00+00
238432,238433,1952269N11157,WP,MM,POLLY,38.6,156.75,40,0,1952,10,3,1952/10/03 04:00:00+00
238433,238434,1952269N11157,WP,MM,POLLY,38.64,157.3,37,0,1952,10,3,1952/10/03 04:00:00+00
238434,238435,1952269N11157,WP,MM,POLLY,38.54,157.89,35,0,1952,10,3,1952/10/03 04:00:00+00
238435,238436,1952269N11157,WP,MM,POLLY,38.32,158.72,32,0,1952,10,3,1952/10/03 04:00:00+00
238436,238437,1952269N11157,WP,MM,POLLY,38.0,159.48,30,0,1952,10,3,1952/10/03 04:00:00+00
238437,238438,1952269N11157,WP,MM,POLLY,37.6,159.82,0,0,1952,10,3,1952/10/03 04:00:00+00
238438,238439,1952269N11157,WP,MM,POLLY,37.5,160.6,0,0,1952,10,3,1952/10/03 04:00:00+00
238439,238440,1952269N11157,WP,MM,POLLY,37.39,161.51,0,0,1952,10,3,1952/10/03 04:00:00+00
238440,238441,1952269N11157,WP,MM,POLLY,37.25,162.45,0,0,1952,10,4,1952/10/04 04:00:00+00
238441,238442,1952269N11157,WP,MM,POLLY,37.09,163.27,0,0,1952,10,4,1952/10/04 04:00:00+00
238442,238443,1952269N11157,WP,MM,POLLY,36.9,164.1,0,0,1952,10,4,1952/10/04 04:00:00+00
238443,238444,1952269N11157,WP,MM,POLLY,36.67,165.02,0,0,1952,10,4,1952/10/04 04:00:00+00
238444,238445,1952269N11157,WP,MM,POLLY,36.45,166.0,0,0,1952,10,4,1952/10/04 04:00:00+00
238445,238446,1952269N11157,WP,MM,POLLY,36.26,167.04,0,0,1952,10,4,1952/10/04 04:00:00+00
238446,238447,1952269N11157,WP,MM,POLLY,36.15,168.0,0,0,1952,10,4,1952/10/04 04:00:00+00
238447,238448,1952269N11157,WP,MM,POLLY,36.13,168.75,0,0,1952,10,4,1952/10/04 04:00:00+00
238448,238449,1952269N11157,WP,MM,POLLY,36.25,169.4,0,0,1952,10,5,1952/10/05 04:00:00+00
238449,238450,1952269N11157,WP,MM,POLLY,36.51,170.13,0,0,1952,10,5,1952/10/05 04:00:00+00
238450,238451,1952269N11157,WP,MM,POLLY,36.8,170.75,0,0,1952,10,5,1952/10/05 04:00:00+00
238451,238452,1952269N11157,WP,MM,POLLY,36.96,171.1,0,0,1952,10,5,1952/10/05 04:00:00+00
238452,238453,1952269N11157,WP,MM,POLLY,37.1,171.35,0,0,1952,10,5,1952/10/05 04:00:00+00
238453,238454,1952269N11157,WP,MM,POLLY,37.27,171.7,0,0,1952,10,5,1952/10/05 04:00:00+00
238454,238455,1952269N11157,WP,MM,POLLY,37.45,172.1,0,0,1952,10,5,1952/10/05 04:00:00+00
238455,238456,1952269N11157,WP,MM,POLLY,37.63,172.54,0,0,1952,10,5,1952/10/05 04:00:00+00
258574,258575,1956342N14128,WP,MM,POLLY,13.6,128.35,25,0,1956,12,7,1956/12/07 05:00:00+00
258575,258576,1956342N14128,WP,MM,POLLY,13.9,127.98,25,0,1956,12,7,1956/12/07 05:00:00+00
258576,258577,1956342N14128,WP,MM,POLLY,14.14,127.65,25,0,1956,12,7,1956/12/07 05:00:00+00
258577,258578,1956342N14128,WP,MM,POLLY,14.31,127.34,37,0,1956,12,7,1956/12/07 05:00:00+00
258578,258579,1956342N14128,WP,MM,POLLY,14.41,127.05,50,0,1956,12,7,1956/12/07 05:00:00+00
258579,258580,1956342N14128,WP,MM,POLLY,14.48,126.75,62,0,1956,12,7,1956/12/07 05:00:00+00
258580,258581,1956342N14128,WP,MM,POLLY,14.48,126.44,75,0,1956,12,8,1956/12/08 05:00:00+00
258581,258582,1956342N14128,WP,MM,POLLY,14.43,126.16,75,0,1956,12,8,1956/12/08 05:00:00+00
258582,258583,1956342N14128,WP,MM,POLLY,14.32,125.9,75,0,1956,12,8,1956/12/08 05:00:00+00
258583,258584,1956342N14128,WP,MM,POLLY,14.2,125.65,75,0,1956,12,8,1956/12/08 05:00:00+00
258584,258585,1956342N14128,WP,MM,POLLY,14.06,125.4,75,0,1956,12,8,1956/12/08 05:00:00+00
258585,258586,1956342N14128,WP,MM,POLLY,13.94,125.14,77,0,1956,12,8,1956/12/08 05:00:00+00
258586,258587,1956342N14128,WP,MM,POLLY,13.83,124.85,80,0,1956,12,8,1956/12/08 05:00:00+00
258587,258588,1956342N14128,WP,MM,POLLY,13.71,124.55,82,0,1956,12,8,1956/12/08 05:00:00+00
258588,258589,1956342N14128,WP,MM,POLLY,13.64,124.24,85,0,1956,12,9,1956/12/09 05:00:00+00
258589,258590,1956342N14128,WP,MM,POLLY,13.65,123.97,82,0,1956,12,9,1956/12/09 05:00:00+00
258590,258591,1956342N14128,WP,MM,POLLY,13.71,123.68,80,0,1956,12,9,1956/12/09 05:00:00+00
258591,258592,1956342N14128,WP,MM,POLLY,13.78,123.32,75,0,1956,12,9,1956/12/09 05:00:00+00
258592,258593,1956342N14128,WP,MM,POLLY,13.82,122.94,70,0,1956,12,9,1956/12/09 05:00:00+00
258593,258594,1956342N14128,WP,MM,POLLY,13.81,122.58,67,0,1956,12,9,1956/12/09 05:00:00+00
258594,258595,1956342N14128,WP,MM,POLLY,13.77,122.23,65,0,1956,12,9,1956/12/09 05:00:00+00
258595,258596,1956342N14128,WP,MM,POLLY,13.69,121.89,62,0,1956,12,9,1956/12/09 05:00:00+00
258596,258597,1956342N14128,WP,MM,POLLY,13.6,121.55,60,0,1956,12,10,1956/12/10 05:00:00+00
258597,258598,1956342N14128,WP,MM,POLLY,13.54,121.22,47,0,1956,12,10,1956/12/10 05:00:00+00
258598,258599,1956342N14128,WP,MM,POLLY,13.5,120.88,35,0,1956,12,10,1956/12/10 05:00:00+00
258599,258600,1956342N14128,WP,MM,POLLY,13.44,120.51,0,0,1956,12,10,1956/12/10 05:00:00+00
277358,277359,1960199N17129,WP,MM,POLLY,16.5,129.0,0,0,1960,7,17,1960/07/17 04:00:00+00
277359,277360,1960199N17129,WP,MM,POLLY,16.97,128.64,0,0,1960,7,17,1960/07/17 04:00:00+00
277360,277361,1960199N17129,WP,MM,POLLY,17.35,128.25,0,0,1960,7,17,1960/07/17 04:00:00+00
277361,277362,1960199N17129,WP,MM,POLLY,17.59,127.82,0,0,1960,7,17,1960/07/17 04:00:00+00
277362,277363,1960199N17129,WP,MM,POLLY,17.73,127.5,30,0,1960,7,17,1960/07/17 04:00:00+00
277363,277364,1960199N17129,WP,MM,POLLY,17.92,127.35,35,0,1960,7,17,1960/07/17 04:00:00+00
277364,277365,1960199N17129,WP,MM,POLLY,18.09,127.25,40,0,1960,7,17,1960/07/17 04:00:00+00
277365,277366,1960199N17129,WP,MM,POLLY,18.25,127.15,42,0,1960,7,17,1960/07/17 04:00:00+00
277366,277367,1960199N17129,WP,MM,POLLY,18.42,127.03,45,0,1960,7,18,1960/07/18 04:00:00+00
277367,277368,1960199N17129,WP,MM,POLLY,18.6,126.94,50,0,1960,7,18,1960/07/18 04:00:00+00
277368,277369,1960199N17129,WP,MM,POLLY,18.78,126.84,55,0,1960,7,18,1960/07/18 04:00:00+00
277369,277370,1960199N17129,WP,MM,POLLY,18.93,126.71,60,0,1960,7,18,1960/07/18 04:00:00+00
277370,277371,1960199N17129,WP,MM,POLLY,19.08,126.6,65,0,1960,7,18,1960/07/18 04:00:00+00
277371,277372,1960199N17129,WP,MM,POLLY,19.26,126.53,70,0,1960,7,18,1960/07/18 04:00:00+00
277372,277373,1960199N17129,WP,MM,POLLY,19.43,126.49,75,0,1960,7,18,1960/07/18 04:00:00+00
277373,277374,1960199N17129,WP,MM,POLLY,19.57,126.45,77,0,1960,7,18,1960/07/18 04:00:00+00
277374,277375,1960199N17129,WP,MM,POLLY,19.7,126.42,80,0,1960,7,19,1960/07/19 04:00:00+00
277375,277376,1960199N17129,WP,MM,POLLY,19.85,126.37,80,0,1960,7,19,1960/07/19 04:00:00+00
277376,277377,1960199N17129,WP,MM,POLLY,20.0,126.34,80,0,1960,7,19,1960/07/19 04:00:00+00
277377,277378,1960199N17129,WP,MM,POLLY,20.15,126.35,85,0,1960,7,19,1960/07/19 04:00:00+00
277378,277379,1960199N17129,WP,MM,POLLY,20.3,126.38,90,0,1960,7,19,1960/07/19 04:00:00+00
277379,277380,1960199N17129,WP,MM,POLLY,20.45,126.44,90,0,1960,7,19,1960/07/19 04:00:00+00
277380,277381,1960199N17129,WP,MM,POLLY,20.59,126.52,90,0,1960,7,19,1960/07/19 04:00:00+00
277381,277382,1960199N17129,WP,MM,POLLY,20.7,126.61,92,0,1960,7,19,1960/07/19 04:00:00+00
277382,277383,1960199N17129,WP,MM,POLLY,20.8,126.73,95,0,1960,7,20,1960/07/20 04:00:00+00
277383,277384,1960199N17129,WP,MM,POLLY,20.9,126.89,97,0,1960,7,20,1960/07/20 04:00:00+00
277384,277385,1960199N17129,WP,MM,POLLY,21.0,127.05,100,0,1960,7,20,1960/07/20 04:00:00+00
277385,277386,1960199N17129,WP,MM,POLLY,21.14,127.19,105,0,1960,7,20,1960/07/20 04:00:00+00
277386,277387,1960199N17129,WP,MM,POLLY,21.3,127.33,110,0,1960,7,20,1960/07/20 04:00:00+00
277387,277388,1960199N17129,WP,MM,POLLY,21.47,127.48,110,0,1960,7,20,1960/07/20 04:00:00+00
277388,277389,1960199N17129,WP,MM,POLLY,21.66,127.62,110,0,1960,7,20,1960/07/20 04:00:00+00
277389,277390,1960199N17129,WP,MM,POLLY,21.88,127.73,112,0,1960,7,20,1960/07/20 04:00:00+00
277390,277391,1960199N17129,WP,MM,POLLY,22.12,127.8,115,0,1960,7,21,1960/07/21 04:00:00+00
