Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
215447,215448,1947254N17143,WP,MM,KATHLEEN,17.0,143.0,35,0,1947,9,10,1947/09/10 04:00:00+00
215448,215449,1947254N17143,WP,MM,KATHLEEN,17.24,142.67,37,0,1947,9,10,1947/09/10 04:00:00+00
215449,215450,1947254N17143,WP,MM,KATHLEEN,17.49,142.21,40,0,1947,9,10,1947/09/10 04:00:00+00
215450,215451,1947254N17143,WP,MM,KATHLEEN,17.74,141.54,42,0,1947,9,10,1947/09/10 04:00:00+00
215451,215452,1947254N17143,WP,MM,KATHLEEN,18.0,140.7,45,0,1947,9,11,1947/09/11 04:00:00+00
215452,215453,1947254N17143,WP,MM,KATHLEEN,18.25,139.68,47,0,1947,9,11,1947/09/11 04:00:00+00
215453,215454,1947254N17143,WP,MM,KATHLEEN,18.53,138.75,50,0,1947,9,11,1947/09/11 04:00:00+00
215454,215455,1947254N17143,WP,MM,KATHLEEN,18.88,138.18,52,0,1947,9,11,1947/09/11 04:00:00+00
215455,215456,1947254N17143,WP,MM,KATHLEEN,19.2,137.8,55,0,1947,9,11,1947/09/11 04:00:00+00
215456,215457,1947254N17143,WP,MM,KATHLEEN,19.42,137.46,57,0,1947,9,11,1947/09/11 04:00:00+00
215457,215458,1947254N17143,WP,MM,KATHLEEN,19.57,137.13,60,0,1947,9,11,1947/09/11 04:00:00+00
215458,215459,1947254N17143,WP,MM,KATHLEEN,19.68,136.71,62,0,1947,9,11,1947/09/11 04:00:00+00
215459,215460,1947254N17143,WP,MM,KATHLEEN,19.8,136.3,65,0,1947,9,12,1947/09/12 04:00:00+00
215460,215461,1947254N17143,WP,MM,KATHLEEN,20.0,135.92,67,0,1947,9,12,1947/09/12 04:00:00+00
215461,215462,1947254N17143,WP,MM,KATHLEEN,20.26,135.62,70,0,1947,9,12,1947/09/12 04:00:00+00
215462,215463,1947254N17143,WP,MM,KATHLEEN,20.55,135.42,72,0,1947,9,12,1947/09/12 04:00:00+00
215463,215464,1947254N17143,WP,MM,KATHLEEN,21.0,135.3,75,0,1947,9,12,1947/09/12 04:00:00+00
215464,215465,1947254N17143,WP,MM,KATHLEEN,21.68,135.22,77,0,1947,9,12,1947/09/12 04:00:00+00
215465,215466,1947254N17143,WP,MM,KATHLEEN,22.61,135.21,80,0,1947,9,12,1947/09/12 04:00:00+00
215466,215467,1947254N17143,WP,MM,KATHLEEN,23.85,135.28,75,0,1947,9,12,1947/09/12 04:00:00+00
215467,215468,1947254N17143,WP,MM,KATHLEEN,25.0,135.4,70,0,1947,9,13,1947/09/13 04:00:00+00
215468,215469,1947254N17143,WP,MM,KATHLEEN,25.61,135.49,70,0,1947,9,13,1947/09/13 04:00:00+00
215469,215470,1947254N17143,WP,MM,KATHLEEN,26.02,135.61,70,0,1947,9,13,1947/09/13 04:00:00+00
215470,215471,1947254N17143,WP,MM,KATHLEEN,26.48,135.8,75,0,1947,9,13,1947/09/13 04:00:00+00
215471,215472,1947254N17143,WP,MM,KATHLEEN,27.0,136.0,80,0,1947,9,13,1947/09/13 04:00:00+00
215472,215473,1947254N17143,WP,MM,KATHLEEN,27.67,136.16,85,0,1947,9,13,1947/09/13 04:00:00+00
215473,215474,1947254N17143,WP,MM,KATHLEEN,28.41,136.32,90,0,1947,9,13,1947/09/13 04:00:00+00
215474,215475,1947254N17143,WP,MM,KATHLEEN,29.16,136.56,90,0,1947,9,13,1947/09/13 04:00:00+00
215475,215476,1947254N17143,WP,MM,KATHLEEN,29.9,136.8,90,0,1947,9,14,1947/09/14 04:00:00+00
215476,215477,1947254N17143,WP,MM,KATHLEEN,30.62,136.96,90,0,1947,9,14,1947/09/14 04:00:00+00
215477,215478,1947254N17143,WP,MM,KATHLEEN,31.27,137.1,90,0,1947,9,14,1947/09/14 04:00:00+00
215478,215479,1947254N17143,WP,MM,KATHLEEN,31.78,137.25,80,0,1947,9,14,1947/09/14 04:00:00+00
215479,215480,1947254N17143,WP,MM,KATHLEEN,32.2,137.4,70,0,1947,9,14,1947/09/14 04:00:00+00
215480,215481,1947254N17143,WP,MM,KATHLEEN,32.57,137.58,70,0,1947,9,14,1947/09/14 04:00:00+00
215481,215482,1947254N17143,WP,MM,KATHLEEN,32.89,137.76,70,0,1947,9,14,1947/09/14 04:00:00+00
