Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
221890,221891,1949192N19142,WP,MM,FAYE,19.1,141.8,0,0,1949,7,10,1949/07/10 04:00:00+00
221891,221892,1949192N19142,WP,MM,FAYE,19.15,141.45,0,0,1949,7,10,1949/07/10 04:00:00+00
221892,221893,1949192N19142,WP,MM,FAYE,19.2,141.1,0,0,1949,7,11,1949/07/11 04:00:00+00
221893,221894,1949192N19142,WP,MM,FAYE,19.24,140.75,0,0,1949,7,11,1949/07/11 04:00:00+00
221894,221895,1949192N19142,WP,MM,FAYE,19.3,140.4,0,0,1949,7,11,1949/07/11 04:00:00+00
221895,221896,1949192N19142,WP,MM,FAYE,19.39,140.04,0,0,1949,7,11,1949/07/11 04:00:00+00
221896,221897,1949192N19142,WP,MM,FAYE,19.5,139.7,0,0,1949,7,11,1949/07/11 04:00:00+00
221897,221898,1949192N19142,WP,MM,FAYE,19.61,139.39,0,0,1949,7,11,1949/07/11 04:00:00+00
221898,221899,1949192N19142,WP,MM,FAYE,19.7,139.1,0,0,1949,7,11,1949/07/11 04:00:00+00
221899,221900,1949192N19142,WP,MM,FAYE,19.75,138.78,0,0,1949,7,11,1949/07/11 04:00:00+00
221900,221901,1949192N19142,WP,MM,FAYE,19.8,138.5,0,0,1949,7,12,1949/07/12 04:00:00+00
221901,221902,1949192N19142,WP,MM,FAYE,19.9,138.28,0,0,1949,7,12,1949/07/12 04:00:00+00
221902,221903,1949192N19142,WP,MM,FAYE,20.21,138.7,30,0,1949,7,12,1949/07/12 04:00:00+00
221903,221904,1949192N19142,WP,MM,FAYE,20.32,138.62,35,0,1949,7,12,1949/07/12 04:00:00+00
221904,221905,1949192N19142,WP,MM,FAYE,20.39,138.41,40,0,1949,7,12,1949/07/12 04:00:00+00
221905,221906,1949192N19142,WP,MM,FAYE,20.43,138.09,47,0,1949,7,12,1949/07/12 04:00:00+00
221906,221907,1949192N19142,WP,MM,FAYE,20.47,137.69,55,0,1949,7,12,1949/07/12 04:00:00+00
221907,221908,1949192N19142,WP,MM,FAYE,20.55,137.26,62,0,1949,7,12,1949/07/12 04:00:00+00
221908,221909,1949192N19142,WP,MM,FAYE,20.66,136.8,70,0,1949,7,13,1949/07/13 04:00:00+00
221909,221910,1949192N19142,WP,MM,FAYE,20.81,136.31,75,0,1949,7,13,1949/07/13 04:00:00+00
221910,221911,1949192N19142,WP,MM,FAYE,20.96,135.84,80,0,1949,7,13,1949/07/13 04:00:00+00
221911,221912,1949192N19142,WP,MM,FAYE,21.06,135.41,80,0,1949,7,13,1949/07/13 04:00:00+00
221912,221913,1949192N19142,WP,MM,FAYE,21.2,135.0,80,0,1949,7,13,1949/07/13 04:00:00+00
221913,221914,1949192N19142,WP,MM,FAYE,21.43,134.55,80,0,1949,7,13,1949/07/13 04:00:00+00
221914,221915,1949192N19142,WP,MM,FAYE,21.69,134.11,80,0,1949,7,13,1949/07/13 04:00:00+00
221915,221916,1949192N19142,WP,MM,FAYE,21.93,133.73,80,0,1949,7,13,1949/07/13 04:00:00+00
221916,221917,1949192N19142,WP,MM,FAYE,22.2,133.38,80,0,1949,7,14,1949/07/14 04:00:00+00
221917,221918,1949192N19142,WP,MM,FAYE,22.55,133.01,80,0,1949,7,14,1949/07/14 04:00:00+00
221918,221919,1949192N19142,WP,MM,FAYE,22.88,132.66,80,0,1949,7,14,1949/07/14 04:00:00+00
221919,221920,1949192N19142,WP,MM,FAYE,23.08,132.37,80,0,1949,7,14,1949/07/14 04:00:00+00
221920,221921,1949192N19142,WP,MM,FAYE,23.28,132.1,80,0,1949,7,14,1949/07/14 04:00:00+00
221921,221922,1949192N19142,WP,MM,FAYE,23.6,131.81,85,0,1949,7,14,1949/07/14 04:00:00+00
221922,221923,1949192N19142,WP,MM,FAYE,23.96,131.52,90,0,1949,7,14,1949/07/14 04:00:00+00
221923,221924,1949192N19142,WP,MM,FAYE,24.3,131.23,90,0,1949,7,14,1949/07/14 04:00:00+00
221924,221925,1949192N19142,WP,MM,FAYE,24.64,130.96,90,0,1949,7,15,1949/07/15 04:00:00+00
221925,221926,1949192N19142,WP,MM,FAYE,24.99,130.71,90,0,1949,7,15,1949/07/15 04:00:00+00
221926,221927,1949192N19142,WP,MM,FAYE,25.34,130.48,90,0,1949,7,15,1949/07/15 04:00:00+00
221927,221928,1949192N19142,WP,MM,FAYE,25.68,130.27,90,0,1949,7,15,1949/07/15 04:00:00+00
221928,221929,1949192N19142,WP,MM,FAYE,26.04,130.1,90,0,1949,7,15,1949/07/15 04:00:00+00
221929,221930,1949192N19142,WP,MM,FAYE,26.46,129.97,90,0,1949,7,15,1949/07/15 04:00:00+00
221930,221931,1949192N19142,WP,MM,FAYE,26.89,129.88,90,0,1949,7,15,1949/07/15 04:00:00+00
221931,221932,1949192N19142,WP,MM,FAYE,27.31,129.81,90,0,1949,7,15,1949/07/15 04:00:00+00
221932,221933,1949192N19142,WP,MM,FAYE,27.7,129.76,90,0,1949,7,16,1949/07/16 04:00:00+00
221933,221934,1949192N19142,WP,MM,FAYE,28.03,129.7,90,0,1949,7,16,1949/07/16 04:00:00+00
221934,221935,1949192N19142,WP,MM,FAYE,28.34,129.67,90,0,1949,7,16,1949/07/16 04:00:00+00
221935,221936,1949192N19142,WP,MM,FAYE,28.63,129.69,90,0,1949,7,16,1949/07/16 04:00:00+00
221936,221937,1949192N19142,WP,MM,FAYE,28.98,129.72,90,0,1949,7,16,1949/07/16 04:00:00+00
221937,221938,1949192N19142,WP,MM,FAYE,29.44,129.75,90,0,1949,7,16,1949/07/16 04:00:00+00
221938,221939,1949192N19142,WP,MM,FAYE,29.96,129.78,90,0,1949,7,16,1949/07/16 04:00:00+00
221939,221940,1949192N19142,WP,MM,FAYE,30.47,129.82,82,0,1949,7,16,1949/07/16 04:00:00+00
221940,221941,1949192N19142,WP,MM,FAYE,30.96,129.86,75,0,1949,7,17,1949/07/17 04:00:00+00
221941,221942,1949192N19142,WP,MM,FAYE,31.4,129.87,72,0,1949,7,17,1949/07/17 04:00:00+00
221942,221943,1949192N19142,WP,MM,FAYE,31.8,129.89,70,0,1949,7,17,1949/07/17 04:00:00+00
221943,221944,1949192N19142,WP,MM,FAYE,32.18,129.93,67,0,1949,7,17,1949/07/17 04:00:00+00
221944,221945,1949192N19142,WP,MM,FAYE,32.54,129.98,65,0,1949,7,17,1949/07/17 04:00:00+00
221945,221946,1949192N19142,WP,MM,FAYE,32.87,130.04,57,0,1949,7,17,1949/07/17 04:00:00+00
221946,221947,1949192N19142,WP,MM,FAYE,33.19,130.12,50,0,1949,7,17,1949/07/17 04:00:00+00
221947,221948,1949192N19142,WP,MM,FAYE,33.54,130.18,47,0,1949,7,17,1949/07/17 04:00:00+00
221948,221949,1949192N19142,WP,MM,FAYE,33.92,130.26,45,0,1949,7,18,1949/07/18 04:00:00+00
221949,221950,1949192N19142,WP,MM,FAYE,34.3,130.37,45,0,1949,7,18,1949/07/18 04:00:00+00
221950,221951,1949192N19142,WP,MM,FAYE,34.73,130.5,45,0,1949,7,18,1949/07/18 04:00:00+00
221951,221952,1949192N19142,WP,MM,FAYE,35.2,130.62,42,0,1949,7,18,1949/07/18 04:00:00+00
221952,221953,1949192N19142,WP,MM,FAYE,35.73,130.8,40,0,1949,7,18,1949/07/18 04:00:00+00
221953,221954,1949192N19142,WP,MM,FAYE,36.28,131.11,40,0,1949,7,18,1949/07/18 04:00:00+00
221954,221955,1949192N19142,WP,MM,FAYE,36.8,131.47,40,0,1949,7,18,1949/07/18 04:00:00+00
221955,221956,1949192N19142,WP,MM,FAYE,37.43,131.84,37,0,1949,7,18,1949/07/18 04:00:00+00
221956,221957,1949192N19142,WP,MM,FAYE,38.07,132.3,35,0,1949,7,19,1949/07/19 04:00:00+00
221957,221958,1949192N19142,WP,MM,FAYE,38.63,132.89,32,0,1949,7,19,1949/07/19 04:00:00+00
239587,239588,1952348N08129,WP,MM,FAYE,7.5,129.0,0,0,1952,12,13,1952/12/13 05:00:00+00
239588,239589,1952348N08129,WP,MM,FAYE,8.73,128.38,0,0,1952,12,13,1952/12/13 05:00:00+00
239589,239590,1952348N08129,WP,MM,FAYE,9.9,127.9,0,0,1952,12,13,1952/12/13 05:00:00+00
239590,239591,1952348N08129,WP,MM,FAYE,10.94,127.59,0,0,1952,12,13,1952/12/13 05:00:00+00
239591,239592,1952348N08129,WP,MM,FAYE,11.8,127.21,0,0,1952,12,13,1952/12/13 05:00:00+00
239592,239593,1952348N08129,WP,MM,FAYE,12.46,126.6,0,0,1952,12,13,1952/12/13 05:00:00+00
239593,239594,1952348N08129,WP,MM,FAYE,12.8,125.85,0,0,1952,12,14,1952/12/14 05:00:00+00
239594,239595,1952348N08129,WP,MM,FAYE,12.78,124.99,0,0,1952,12,14,1952/12/14 05:00:00+00
239595,239596,1952348N08129,WP,MM,FAYE,12.55,124.2,0,0,1952,12,14,1952/12/14 05:00:00+00
239596,239597,1952348N08129,WP,MM,FAYE,12.33,123.7,0,0,1952,12,14,1952/12/14 05:00:00+00
239597,239598,1952348N08129,WP,MM,FAYE,12.34,123.54,0,0,1952,12,14,1952/12/14 05:00:00+00
239598,239599,1952348N08129,WP,MM,FAYE,12.57,123.17,0,0,1952,12,14,1952/12/14 05:00:00+00
239599,239600,1952348N08129,WP,MM,FAYE,12.76,122.7,0,0,1952,12,14,1952/12/14 05:00:00+00
239600,239601,1952348N08129,WP,MM,FAYE,12.73,122.2,0,0,1952,12,14,1952/12/14 05:00:00+00
239601,239602,1952348N08129,WP,MM,FAYE,12.67,121.6,0,0,1952,12,15,1952/12/15 05:00:00+00
239602,239603,1952348N08129,WP,MM,FAYE,12.77,120.87,0,0,1952,12,15,1952/12/15 05:00:00+00
239603,239604,1952348N08129,WP,MM,FAYE,12.87,120.17,0,0,1952,12,15,1952/12/15 05:00:00+00
239604,239605,1952348N08129,WP,MM,FAYE,12.81,119.67,0,0,1952,12,15,1952/12/15 05:00:00+00
239605,239606,1952348N08129,WP,MM,FAYE,12.73,119.2,0,0,1952,12,15,1952/12/15 05:00:00+00
239606,239607,1952348N08129,WP,MM,FAYE,12.76,118.62,0,0,1952,12,15,1952/12/15 05:00:00+00
239607,239608,1952348N08129,WP,MM,FAYE,12.82,118.01,0,0,1952,12,15,1952/12/15 05:00:00+00
239608,239609,1952348N08129,WP,MM,FAYE,12.85,117.39,0,0,1952,12,15,1952/12/15 05:00:00+00
239609,239610,1952348N08129,WP,MM,FAYE,12.99,117.15,20,0,1952,12,16,1952/12/16 05:00:00+00
239610,239611,1952348N08129,WP,MM,FAYE,13.11,116.88,25,0,1952,12,16,1952/12/16 05:00:00+00
239611,239612,1952348N08129,WP,MM,FAYE,13.2,116.53,30,0,1952,12,16,1952/12/16 05:00:00+00
239612,239613,1952348N08129,WP,MM,FAYE,13.27,116.06,32,0,1952,12,16,1952/12/16 05:00:00+00
239613,239614,1952348N08129,WP,MM,FAYE,13.27,115.48,35,0,1952,12,16,1952/12/16 05:00:00+00
239614,239615,1952348N08129,WP,MM,FAYE,13.22,114.86,37,0,1952,12,16,1952/12/16 05:00:00+00
239615,239616,1952348N08129,WP,MM,FAYE,13.13,114.24,40,0,1952,12,16,1952/12/16 05:00:00+00
239616,239617,1952348N08129,WP,MM,FAYE,13.0,113.58,42,0,1952,12,16,1952/12/16 05:00:00+00
239617,239618,1952348N08129,WP,MM,FAYE,12.87,113.07,45,0,1952,12,17,1952/12/17 05:00:00+00
239618,239619,1952348N08129,WP,MM,FAYE,12.77,112.82,40,0,1952,12,17,1952/12/17 05:00:00+00
239619,239620,1952348N08129,WP,MM,FAYE,12.72,112.78,35,0,1952,12,17,1952/12/17 05:00:00+00
239620,239621,1952348N08129,WP,MM,FAYE,12.7,112.88,35,0,1952,12,17,1952/12/17 05:00:00+00
239621,239622,1952348N08129,WP,MM,FAYE,12.77,112.98,35,0,1952,12,17,1952/12/17 05:00:00+00
239622,239623,1952348N08129,WP,MM,FAYE,12.96,112.87,35,0,1952,12,17,1952/12/17 05:00:00+00
239623,239624,1952348N08129,WP,MM,FAYE,13.12,112.72,35,0,1952,12,17,1952/12/17 05:00:00+00
239624,239625,1952348N08129,WP,MM,FAYE,13.05,112.68,35,0,1952,12,17,1952/12/17 05:00:00+00
239625,239626,1952348N08129,WP,MM,FAYE,12.93,112.65,35,0,1952,12,18,1952/12/18 05:00:00+00
239626,239627,1952348N08129,WP,MM,FAYE,12.93,112.56,32,0,1952,12,18,1952/12/18 05:00:00+00
239627,239628,1952348N08129,WP,MM,FAYE,12.94,112.46,30,0,1952,12,18,1952/12/18 05:00:00+00
239628,239629,1952348N08129,WP,MM,FAYE,12.9,112.35,30,0,1952,12,18,1952/12/18 05:00:00+00
239629,239630,1952348N08129,WP,MM,FAYE,12.83,112.25,30,0,1952,12,18,1952/12/18 05:00:00+00
239630,239631,1952348N08129,WP,MM,FAYE,12.8,112.15,30,0,1952,12,18,1952/12/18 05:00:00+00
239631,239632,1952348N08129,WP,MM,FAYE,12.75,112.05,30,0,1952,12,18,1952/12/18 05:00:00+00
239632,239633,1952348N08129,WP,MM,FAYE,12.68,111.96,30,0,1952,12,18,1952/12/18 05:00:00+00
239633,239634,1952348N08129,WP,MM,FAYE,12.61,111.89,30,0,1952,12,19,1952/12/19 05:00:00+00
239634,239635,1952348N08129,WP,MM,FAYE,12.57,111.83,27,0,1952,12,19,1952/12/19 05:00:00+00
239635,239636,1952348N08129,WP,MM,FAYE,12.56,111.75,25,0,1952,12,19,1952/12/19 05:00:00+00
239636,239637,1952348N08129,WP,MM,FAYE,12.6,111.67,0,0,1952,12,19,1952/12/19 05:00:00+00
239637,239638,1952348N08129,WP,MM,FAYE,12.53,111.57,0,0,1952,12,19,1952/12/19 05:00:00+00
239638,239639,1952348N08129,WP,MM,FAYE,12.48,111.45,0,0,1952,12,19,1952/12/19 05:00:00+00
239639,239640,1952348N08129,WP,MM,FAYE,12.43,111.33,0,0,1952,12,19,1952/12/19 05:00:00+00
239640,239641,1952348N08129,WP,MM,FAYE,12.37,111.2,0,0,1952,12,19,1952/12/19 05:00:00+00
262324,262325,1957261N10147,WP,MM,FAYE,9.65,147.3,0,0,1957,9,17,1957/09/17 04:00:00+00
262325,262326,1957261N10147,WP,MM,FAYE,9.86,146.89,0,0,1957,9,17,1957/09/17 04:00:00+00
262326,262327,1957261N10147,WP,MM,FAYE,10.1,146.55,90,0,1957,9,18,1957/09/18 04:00:00+00
262327,262328,1957261N10147,WP,MM,FAYE,10.42,146.03,90,0,1957,9,18,1957/09/18 04:00:00+00
262328,262329,1957261N10147,WP,MM,FAYE,10.7,145.55,90,0,1957,9,18,1957/09/18 04:00:00+00
262329,262330,1957261N10147,WP,MM,FAYE,10.86,145.19,92,0,1957,9,18,1957/09/18 04:00:00+00
262330,262331,1957261N10147,WP,MM,FAYE,10.98,144.88,95,0,1957,9,18,1957/09/18 04:00:00+00
262331,262332,1957261N10147,WP,MM,FAYE,11.16,144.53,97,0,1957,9,18,1957/09/18 04:00:00+00
262332,262333,1957261N10147,WP,MM,FAYE,11.37,144.16,100,0,1957,9,18,1957/09/18 04:00:00+00
262333,262334,1957261N10147,WP,MM,FAYE,11.59,143.75,105,0,1957,9,18,1957/09/18 04:00:00+00
262334,262335,1957261N10147,WP,MM,FAYE,11.8,143.32,110,0,1957,9,19,1957/09/19 04:00:00+00
262335,262336,1957261N10147,WP,MM,FAYE,11.94,142.92,115,0,1957,9,19,1957/09/19 04:00:00+00
262336,262337,1957261N10147,WP,MM,FAYE,12.12,142.48,120,0,1957,9,19,1957/09/19 04:00:00+00
262337,262338,1957261N10147,WP,MM,FAYE,12.44,141.96,120,0,1957,9,19,1957/09/19 04:00:00+00
262338,262339,1957261N10147,WP,MM,FAYE,12.78,141.37,120,0,1957,9,19,1957/09/19 04:00:00+00
262339,262340,1957261N10147,WP,MM,FAYE,13.05,140.72,122,0,1957,9,19,1957/09/19 04:00:00+00
262340,262341,1957261N10147,WP,MM,FAYE,13.28,140.06,125,0,1957,9,19,1957/09/19 04:00:00+00
262341,262342,1957261N10147,WP,MM,FAYE,13.44,139.48,127,0,1957,9,19,1957/09/19 04:00:00+00
262342,262343,1957261N10147,WP,MM,FAYE,13.63,138.83,130,0,1957,9,20,1957/09/20 04:00:00+00
262343,262344,1957261N10147,WP,MM,FAYE,13.98,138.02,132,0,1957,9,20,1957/09/20 04:00:00+00
262344,262345,1957261N10147,WP,MM,FAYE,14.36,137.14,135,0,1957,9,20,1957/09/20 04:00:00+00
262345,262346,1957261N10147,WP,MM,FAYE,14.66,136.3,137,0,1957,9,20,1957/09/20 04:00:00+00
262346,262347,1957261N10147,WP,MM,FAYE,14.95,135.5,140,0,1957,9,20,1957/09/20 04:00:00+00
262347,262348,1957261N10147,WP,MM,FAYE,15.25,134.73,130,0,1957,9,20,1957/09/20 04:00:00+00
262348,262349,1957261N10147,WP,MM,FAYE,15.57,134.0,120,0,1957,9,20,1957/09/20 04:00:00+00
262349,262350,1957261N10147,WP,MM,FAYE,15.97,133.29,115,0,1957,9,20,1957/09/20 04:00:00+00
262350,262351,1957261N10147,WP,MM,FAYE,16.32,132.6,110,0,1957,9,21,1957/09/21 04:00:00+00
262351,262352,1957261N10147,WP,MM,FAYE,16.48,131.92,105,0,1957,9,21,1957/09/21 04:00:00+00
262352,262353,1957261N10147,WP,MM,FAYE,16.61,131.27,100,0,1957,9,21,1957/09/21 04:00:00+00
262353,262354,1957261N10147,WP,MM,FAYE,16.88,130.68,97,0,1957,9,21,1957/09/21 04:00:00+00
262354,262355,1957261N10147,WP,MM,FAYE,17.17,130.13,95,0,1957,9,21,1957/09/21 04:00:00+00
262355,262356,1957261N10147,WP,MM,FAYE,17.37,129.6,92,0,1957,9,21,1957/09/21 04:00:00+00
262356,262357,1957261N10147,WP,MM,FAYE,17.57,129.07,90,0,1957,9,21,1957/09/21 04:00:00+00
262357,262358,1957261N10147,WP,MM,FAYE,17.82,128.53,87,0,1957,9,21,1957/09/21 04:00:00+00
262358,262359,1957261N10147,WP,MM,FAYE,18.07,128.02,85,0,1957,9,22,1957/09/22 04:00:00+00
262359,262360,1957261N10147,WP,MM,FAYE,18.25,127.52,82,0,1957,9,22,1957/09/22 04:00:00+00
262360,262361,1957261N10147,WP,MM,FAYE,18.42,127.08,80,0,1957,9,22,1957/09/22 04:00:00+00
262361,262362,1957261N10147,WP,MM,FAYE,18.63,126.74,80,0,1957,9,22,1957/09/22 04:00:00+00
262362,262363,1957261N10147,WP,MM,FAYE,18.85,126.4,80,0,1957,9,22,1957/09/22 04:00:00+00
262363,262364,1957261N10147,WP,MM,FAYE,19.05,125.93,80,0,1957,9,22,1957/09/22 04:00:00+00
262364,262365,1957261N10147,WP,MM,FAYE,19.22,125.48,80,0,1957,9,22,1957/09/22 04:00:00+00
262365,262366,1957261N10147,WP,MM,FAYE,19.32,125.2,80,0,1957,9,22,1957/09/22 04:00:00+00
262366,262367,1957261N10147,WP,MM,FAYE,19.4,124.98,80,0,1957,9,23,1957/09/23 04:00:00+00
262367,262368,1957261N10147,WP,MM,FAYE,19.49,124.77,80,0,1957,9,23,1957/09/23 04:00:00+00
262368,262369,1957261N10147,WP,MM,FAYE,19.58,124.56,80,0,1957,9,23,1957/09/23 04:00:00+00
262369,262370,1957261N10147,WP,MM,FAYE,19.66,124.31,77,0,1957,9,23,1957/09/23 04:00:00+00
262370,262371,1957261N10147,WP,MM,FAYE,19.75,124.05,75,0,1957,9,23,1957/09/23 04:00:00+00
262371,262372,1957261N10147,WP,MM,FAYE,19.86,123.8,72,0,1957,9,23,1957/09/23 04:00:00+00
262372,262373,1957261N10147,WP,MM,FAYE,19.99,123.58,70,0,1957,9,23,1957/09/23 04:00:00+00
262373,262374,1957261N10147,WP,MM,FAYE,20.1,123.39,70,0,1957,9,23,1957/09/23 04:00:00+00
262374,262375,1957261N10147,WP,MM,FAYE,20.23,123.22,70,0,1957,9,24,1957/09/24 04:00:00+00
262375,262376,1957261N10147,WP,MM,FAYE,20.38,123.0,70,0,1957,9,24,1957/09/24 04:00:00+00
262376,262377,1957261N10147,WP,MM,FAYE,20.58,122.8,70,0,1957,9,24,1957/09/24 04:00:00+00
262377,262378,1957261N10147,WP,MM,FAYE,20.85,122.65,67,0,1957,9,24,1957/09/24 04:00:00+00
262378,262379,1957261N10147,WP,MM,FAYE,21.18,122.57,65,0,1957,9,24,1957/09/24 04:00:00+00
262379,262380,1957261N10147,WP,MM,FAYE,21.55,122.54,62,0,1957,9,24,1957/09/24 04:00:00+00
262380,262381,1957261N10147,WP,MM,FAYE,21.94,122.6,60,0,1957,9,24,1957/09/24 04:00:00+00
262381,262382,1957261N10147,WP,MM,FAYE,22.31,122.72,60,0,1957,9,24,1957/09/24 04:00:00+00
262382,262383,1957261N10147,WP,MM,FAYE,22.7,122.98,60,0,1957,9,25,1957/09/25 04:00:00+00
262383,262384,1957261N10147,WP,MM,FAYE,23.12,123.4,62,0,1957,9,25,1957/09/25 04:00:00+00
262384,262385,1957261N10147,WP,MM,FAYE,23.59,123.91,65,0,1957,9,25,1957/09/25 04:00:00+00
262385,262386,1957261N10147,WP,MM,FAYE,24.14,124.41,67,0,1957,9,25,1957/09/25 04:00:00+00
262386,262387,1957261N10147,WP,MM,FAYE,24.7,124.97,70,0,1957,9,25,1957/09/25 04:00:00+00
262387,262388,1957261N10147,WP,MM,FAYE,25.17,125.57,77,0,1957,9,25,1957/09/25 04:00:00+00
262388,262389,1957261N10147,WP,MM,FAYE,25.62,126.22,85,0,1957,9,25,1957/09/25 04:00:00+00
262389,262390,1957261N10147,WP,MM,FAYE,26.09,126.86,87,0,1957,9,25,1957/09/25 04:00:00+00
262390,262391,1957261N10147,WP,MM,FAYE,26.62,127.67,90,0,1957,9,26,1957/09/26 04:00:00+00
262391,262392,1957261N10147,WP,MM,FAYE,27.26,128.81,92,0,1957,9,26,1957/09/26 04:00:00+00
262392,262393,1957261N10147,WP,MM,FAYE,27.97,130.16,95,0,1957,9,26,1957/09/26 04:00:00+00
262393,262394,1957261N10147,WP,MM,FAYE,28.7,131.56,92,0,1957,9,26,1957/09/26 04:00:00+00
262394,262395,1957261N10147,WP,MM,FAYE,29.45,133.02,90,0,1957,9,26,1957/09/26 04:00:00+00
262395,262396,1957261N10147,WP,MM,FAYE,30.18,134.48,85,0,1957,9,26,1957/09/26 04:00:00+00
262396,262397,1957261N10147,WP,MM,FAYE,30.96,136.0,80,0,1957,9,26,1957/09/26 04:00:00+00
262397,262398,1957261N10147,WP,MM,FAYE,31.87,137.6,75,0,1957,9,26,1957/09/26 04:00:00+00
262398,262399,1957261N10147,WP,MM,FAYE,32.8,139.42,70,0,1957,9,27,1957/09/27 04:00:00+00
262399,262400,1957261N10147,WP,MM,FAYE,33.67,141.72,65,0,1957,9,27,1957/09/27 04:00:00+00
262400,262401,1957261N10147,WP,MM,FAYE,34.36,143.92,60,0,1957,9,27,1957/09/27 04:00:00+00
262401,262402,1957261N10147,WP,MM,FAYE,34.72,145.13,55,0,1957,9,27,1957/09/27 04:00:00+00
262402,262403,1957261N10147,WP,MM,FAYE,35.0,146.28,50,0,1957,9,27,1957/09/27 04:00:00+00
262403,262404,1957261N10147,WP,MM,FAYE,35.38,148.23,47,0,1957,9,27,1957/09/27 04:00:00+00
262404,262405,1957261N10147,WP,MM,FAYE,35.83,150.32,45,0,1957,9,27,1957/09/27 04:00:00+00
262405,262406,1957261N10147,WP,MM,FAYE,36.34,152.01,42,0,1957,9,27,1957/09/27 04:00:00+00
262406,262407,1957261N10147,WP,MM,FAYE,36.98,153.57,40,0,1957,9,28,1957/09/28 04:00:00+00
262407,262408,1957261N10147,WP,MM,FAYE,37.71,155.21,37,0,1957,9,28,1957/09/28 04:00:00+00
262408,262409,1957261N10147,WP,MM,FAYE,38.5,156.9,35,0,1957,9,28,1957/09/28 04:00:00+00
262409,262410,1957261N10147,WP,MM,FAYE,39.28,158.74,40,0,1957,9,28,1957/09/28 04:00:00+00
262410,262411,1957261N10147,WP,MM,FAYE,39.95,160.5,45,0,1957,9,28,1957/09/28 04:00:00+00
262411,262412,1957261N10147,WP,MM,FAYE,40.51,161.99,45,0,1957,9,28,1957/09/28 04:00:00+00
262412,262413,1957261N10147,WP,MM,FAYE,40.75,163.38,45,0,1957,9,28,1957/09/28 04:00:00+00
262413,262414,1957261N10147,WP,MM,FAYE,40.46,164.88,45,0,1957,9,28,1957/09/28 04:00:00+00
262414,262415,1957261N10147,WP,MM,FAYE,40.0,166.2,45,0,1957,9,29,1957/09/29 04:00:00+00
262415,262416,1957261N10147,WP,MM,FAYE,39.81,167.16,47,0,1957,9,29,1957/09/29 04:00:00+00
262416,262417,1957261N10147,WP,MM,FAYE,39.7,168.0,50,0,1957,9,29,1957/09/29 04:00:00+00
262417,262418,1957261N10147,WP,MM,FAYE,39.61,168.87,50,0,1957,9,29,1957/09/29 04:00:00+00
262418,262419,1957261N10147,WP,MM,FAYE,39.58,170.07,50,0,1957,9,29,1957/09/29 04:00:00+00
262419,262420,1957261N10147,WP,MM,FAYE,39.36,171.81,47,0,1957,9,29,1957/09/29 04:00:00+00
262420,262421,1957261N10147,WP,MM,FAYE,39.17,173.62,45,0,1957,9,29,1957/09/29 04:00:00+00
262421,262422,1957261N10147,WP,MM,FAYE,39.36,175.05,42,0,1957,9,29,1957/09/29 04:00:00+00
262422,262423,1957261N10147,WP,MM,FAYE,39.43,176.1,40,0,1957,9,30,1957/09/30 04:00:00+00
262423,262424,1957261N10147,WP,MM,FAYE,39.22,176.61,37,0,1957,9,30,1957/09/30 04:00:00+00
262424,262425,1957261N10147,WP,MM,FAYE,39.0,176.92,35,0,1957,9,30,1957/09/30 04:00:00+00
262425,262426,1957261N10147,WP,MM,FAYE,39.02,177.61,35,0,1957,9,30,1957/09/30 04:00:00+00
262426,262427,1957261N10147,WP,MM,FAYE,39.13,178.33,35,0,1957,9,30,1957/09/30 04:00:00+00
262427,262428,1957261N10147,WP,MM,FAYE,39.03,178.29,0,0,1957,9,30,1957/09/30 04:00:00+00
262428,262429,1957261N10147,EP,CP,FAYE,39.0,180.0,0,0,1957,9,30,1957/09/30 04:00:00+00
262429,262430,1957261N10147,EP,CP,FAYE,39.69,182.29,0,0,1957,9,30,1957/09/30 04:00:00+00
278676,278677,1960235N10159,WP,MM,FAYE,10.0,159.0,0,0,1960,8,21,1960/08/21 04:00:00+00
278677,278678,1960235N10159,WP,MM,FAYE,10.76,158.65,0,0,1960,8,21,1960/08/21 04:00:00+00
278678,278679,1960235N10159,WP,MM,FAYE,11.5,158.3,0,0,1960,8,21,1960/08/21 04:00:00+00
278679,278680,1960235N10159,WP,MM,FAYE,12.23,157.95,0,0,1960,8,21,1960/08/21 04:00:00+00
278680,278681,1960235N10159,WP,MM,FAYE,13.0,157.6,0,0,1960,8,22,1960/08/22 04:00:00+00
278681,278682,1960235N10159,WP,MM,FAYE,13.82,157.23,0,0,1960,8,22,1960/08/22 04:00:00+00
278682,278683,1960235N10159,WP,MM,FAYE,14.7,156.9,0,0,1960,8,22,1960/08/22 04:00:00+00
278683,278684,1960235N10159,WP,MM,FAYE,15.63,156.6,0,0,1960,8,22,1960/08/22 04:00:00+00
