Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
418874,418875,1980234N36287,,,CHARLEY,36.0,-73.0,25,1010,1980,8,20,1980/08/20 04:00:00+00
418875,418876,1980234N36287,,,CHARLEY,35.51,-72.49,25,1009,1980,8,20,1980/08/20 04:00:00+00
418876,418877,1980234N36287,,,CHARLEY,35.0,-72.0,25,1008,1980,8,20,1980/08/20 04:00:00+00
418877,418878,1980234N36287,,,CHARLEY,34.47,-71.54,27,1007,1980,8,20,1980/08/20 04:00:00+00
418878,418879,1980234N36287,,,CHARLEY,34.0,-71.0,30,1006,1980,8,21,1980/08/21 04:00:00+00
418879,418880,1980234N36287,,,CHARLEY,33.58,-70.29,30,1005,1980,8,21,1980/08/21 04:00:00+00
418880,418881,1980234N36287,,,CHARLEY,33.4,-69.5,30,1005,1980,8,21,1980/08/21 04:00:00+00
418881,418882,1980234N36287,,,CHARLEY,33.59,-68.73,32,1004,1980,8,21,1980/08/21 04:00:00+00
418882,418883,1980234N36287,,,CHARLEY,34.0,-68.0,35,1003,1980,8,21,1980/08/21 04:00:00+00
418883,418884,1980234N36287,,,CHARLEY,34.37,-67.37,37,1002,1980,8,21,1980/08/21 04:00:00+00
418884,418885,1980234N36287,,,CHARLEY,34.8,-66.8,40,1002,1980,8,21,1980/08/21 04:00:00+00
418885,418886,1980234N36287,,,CHARLEY,35.27,-66.23,42,1001,1980,8,21,1980/08/21 04:00:00+00
418886,418887,1980234N36287,,,CHARLEY,35.8,-65.7,45,1000,1980,8,22,1980/08/22 04:00:00+00
418887,418888,1980234N36287,,,CHARLEY,36.38,-65.18,47,999,1980,8,22,1980/08/22 04:00:00+00
418888,418889,1980234N36287,,,CHARLEY,37.0,-64.8,50,998,1980,8,22,1980/08/22 04:00:00+00
418889,418890,1980234N36287,,,CHARLEY,37.68,-64.67,52,997,1980,8,22,1980/08/22 04:00:00+00
418890,418891,1980234N36287,,,CHARLEY,38.3,-64.7,55,996,1980,8,22,1980/08/22 04:00:00+00
418891,418892,1980234N36287,,,CHARLEY,38.76,-64.72,57,995,1980,8,22,1980/08/22 04:00:00+00
418892,418893,1980234N36287,,,CHARLEY,39.1,-64.9,60,994,1980,8,22,1980/08/22 04:00:00+00
418893,418894,1980234N36287,,,CHARLEY,39.46,-65.35,62,993,1980,8,22,1980/08/22 04:00:00+00
418894,418895,1980234N36287,,,CHARLEY,39.6,-65.9,65,992,1980,8,23,1980/08/23 04:00:00+00
418895,418896,1980234N36287,,,CHARLEY,39.34,-66.43,67,991,1980,8,23,1980/08/23 04:00:00+00
418896,418897,1980234N36287,,,CHARLEY,38.9,-66.7,70,990,1980,8,23,1980/08/23 04:00:00+00
418897,418898,1980234N36287,,,CHARLEY,38.51,-66.51,70,989,1980,8,23,1980/08/23 04:00:00+00
418898,418899,1980234N36287,,,CHARLEY,38.2,-66.0,70,989,1980,8,23,1980/08/23 04:00:00+00
418899,418900,1980234N36287,,,CHARLEY,38.05,-65.42,70,989,1980,8,23,1980/08/23 04:00:00+00
418900,418901,1980234N36287,,,CHARLEY,38.0,-64.7,70,990,1980,8,23,1980/08/23 04:00:00+00
418901,418902,1980234N36287,,,CHARLEY,37.99,-63.91,67,990,1980,8,23,1980/08/23 04:00:00+00
418902,418903,1980234N36287,,,CHARLEY,38.0,-63.1,65,991,1980,8,24,1980/08/24 04:00:00+00
418903,418904,1980234N36287,,,CHARLEY,37.95,-62.39,62,992,1980,8,24,1980/08/24 04:00:00+00
418904,418905,1980234N36287,,,CHARLEY,37.9,-61.7,60,994,1980,8,24,1980/08/24 04:00:00+00
418905,418906,1980234N36287,,,CHARLEY,37.89,-61.0,57,996,1980,8,24,1980/08/24 04:00:00+00
418906,418907,1980234N36287,,,CHARLEY,37.9,-60.2,55,998,1980,8,24,1980/08/24 04:00:00+00
418907,418908,1980234N36287,,,CHARLEY,37.89,-59.33,50,999,1980,8,24,1980/08/24 04:00:00+00
418908,418909,1980234N36287,,,CHARLEY,37.9,-58.2,45,1000,1980,8,24,1980/08/24 04:00:00+00
418909,418910,1980234N36287,,,CHARLEY,37.94,-56.73,40,1000,1980,8,24,1980/08/24 04:00:00+00
418910,418911,1980234N36287,,,CHARLEY,38.0,-55.0,35,1001,1980,8,25,1980/08/25 04:00:00+00
418911,418912,1980234N36287,,,CHARLEY,38.05,-53.23,35,1001,1980,8,25,1980/08/25 04:00:00+00
418912,418913,1980234N36287,,,CHARLEY,38.1,-51.3,35,1002,1980,8,25,1980/08/25 04:00:00+00
418913,418914,1980234N36287,,,CHARLEY,38.13,-49.23,35,1003,1980,8,25,1980/08/25 04:00:00+00
418914,418915,1980234N36287,,,CHARLEY,38.2,-47.0,35,1004,1980,8,25,1980/08/25 04:00:00+00
418915,418916,1980234N36287,,,CHARLEY,38.34,-44.64,35,1004,1980,8,25,1980/08/25 04:00:00+00
459043,459044,1986226N30276,,GM,CHARLEY,30.1,-84.0,10,1009,1986,8,13,1986/08/13 04:00:00+00
459044,459045,1986226N30276,,,CHARLEY,30.46,-84.04,10,1010,1986,8,13,1986/08/13 04:00:00+00
459045,459046,1986226N30276,,,CHARLEY,30.8,-84.0,10,1012,1986,8,13,1986/08/13 04:00:00+00
459046,459047,1986226N30276,,,CHARLEY,31.11,-83.84,10,1012,1986,8,13,1986/08/13 04:00:00+00
459047,459048,1986226N30276,,,CHARLEY,31.4,-83.6,10,1013,1986,8,14,1986/08/14 04:00:00+00
459048,459049,1986226N30276,,,CHARLEY,31.71,-83.36,10,1013,1986,8,14,1986/08/14 04:00:00+00
459049,459050,1986226N30276,,,CHARLEY,32.0,-83.1,10,1014,1986,8,14,1986/08/14 04:00:00+00
459050,459051,1986226N30276,,,CHARLEY,32.3,-82.8,10,1014,1986,8,14,1986/08/14 04:00:00+00
459051,459052,1986226N30276,,,CHARLEY,32.5,-82.5,10,1015,1986,8,14,1986/08/14 04:00:00+00
459052,459053,1986226N30276,,,CHARLEY,32.49,-82.26,10,1015,1986,8,14,1986/08/14 04:00:00+00
459053,459054,1986226N30276,,,CHARLEY,32.4,-82.0,10,1015,1986,8,14,1986/08/14 04:00:00+00
459054,459055,1986226N30276,,,CHARLEY,32.34,-81.65,12,1014,1986,8,14,1986/08/14 04:00:00+00
459055,459056,1986226N30276,,,CHARLEY,32.3,-81.2,15,1013,1986,8,15,1986/08/15 04:00:00+00
459056,459057,1986226N30276,,,CHARLEY,32.3,-80.62,15,1013,1986,8,15,1986/08/15 04:00:00+00
459057,459058,1986226N30276,,,CHARLEY,32.3,-80.0,15,1013,1986,8,15,1986/08/15 04:00:00+00
459058,459059,1986226N30276,,,CHARLEY,32.25,-79.45,22,1011,1986,8,15,1986/08/15 04:00:00+00
459059,459060,1986226N30276,,,CHARLEY,32.2,-79.0,30,1009,1986,8,15,1986/08/15 04:00:00+00
459060,459061,1986226N30276,,,CHARLEY,32.18,-78.71,32,1008,1986,8,15,1986/08/15 04:00:00+00
459061,459062,1986226N30276,,,CHARLEY,32.2,-78.5,35,1007,1986,8,15,1986/08/15 04:00:00+00
