Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
424205,424206,1981180N11257,EP,MM,BEATRIZ,11.4,-103.4,30,0,1981,6,28,1981/06/28 04:00:00+00
424206,424207,1981180N11257,EP,MM,BEATRIZ,11.51,-103.9,30,0,1981,6,28,1981/06/28 04:00:00+00
424207,424208,1981180N11257,EP,MM,BEATRIZ,11.6,-104.4,30,0,1981,6,29,1981/06/29 04:00:00+00
424208,424209,1981180N11257,EP,MM,BEATRIZ,11.65,-104.9,32,0,1981,6,29,1981/06/29 04:00:00+00
424209,424210,1981180N11257,EP,MM,BEATRIZ,11.71,-105.41,35,0,1981,6,29,1981/06/29 04:00:00+00
424210,424211,1981180N11257,EP,MM,BEATRIZ,11.83,-105.96,37,0,1981,6,29,1981/06/29 04:00:00+00
424211,424212,1981180N11257,EP,MM,BEATRIZ,12.0,-106.5,40,0,1981,6,29,1981/06/29 04:00:00+00
424212,424213,1981180N11257,EP,MM,BEATRIZ,12.18,-107.01,42,0,1981,6,29,1981/06/29 04:00:00+00
424213,424214,1981180N11257,EP,MM,BEATRIZ,12.42,-107.5,45,0,1981,6,29,1981/06/29 04:00:00+00
424214,424215,1981180N11257,EP,MM,BEATRIZ,12.74,-107.97,47,0,1981,6,29,1981/06/29 04:00:00+00
424215,424216,1981180N11257,EP,MM,BEATRIZ,13.1,-108.4,50,0,1981,6,30,1981/06/30 04:00:00+00
424216,424217,1981180N11257,EP,MM,BEATRIZ,13.44,-108.77,52,0,1981,6,30,1981/06/30 04:00:00+00
