Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208907,208908,1945271N06160,WP,MM,KATE,6.0,160.0,25,0,1945,9,28,1945/09/28 04:00:00+00
208908,208909,1945271N06160,WP,MM,KATE,6.25,159.5,25,0,1945,9,28,1945/09/28 04:00:00+00
208909,208910,1945271N06160,WP,MM,KATE,6.5,158.99,25,0,1945,9,28,1945/09/28 04:00:00+00
208910,208911,1945271N06160,WP,MM,KATE,6.76,158.5,25,0,1945,9,28,1945/09/28 04:00:00+00
208911,208912,1945271N06160,WP,MM,KATE,7.0,158.0,25,0,1945,9,28,1945/09/28 04:00:00+00
208912,208913,1945271N06160,WP,MM,KATE,7.2,157.51,25,0,1945,9,28,1945/09/28 04:00:00+00
208913,208914,1945271N06160,WP,MM,KATE,7.42,157.02,25,0,1945,9,28,1945/09/28 04:00:00+00
208914,208915,1945271N06160,WP,MM,KATE,7.68,156.55,27,0,1945,9,28,1945/09/28 04:00:00+00
208915,208916,1945271N06160,WP,MM,KATE,8.0,156.0,30,0,1945,9,29,1945/09/29 04:00:00+00
208916,208917,1945271N06160,WP,MM,KATE,8.37,155.3,30,0,1945,9,29,1945/09/29 04:00:00+00
208917,208918,1945271N06160,WP,MM,KATE,8.77,154.52,30,0,1945,9,29,1945/09/29 04:00:00+00
208918,208919,1945271N06160,WP,MM,KATE,9.12,153.76,30,0,1945,9,29,1945/09/29 04:00:00+00
208919,208920,1945271N06160,WP,MM,KATE,9.5,153.0,30,0,1945,9,29,1945/09/29 04:00:00+00
208920,208921,1945271N06160,WP,MM,KATE,9.98,152.19,30,0,1945,9,29,1945/09/29 04:00:00+00
208921,208922,1945271N06160,WP,MM,KATE,10.51,151.4,30,0,1945,9,29,1945/09/29 04:00:00+00
208922,208923,1945271N06160,WP,MM,KATE,11.04,150.65,30,0,1945,9,29,1945/09/29 04:00:00+00
208923,208924,1945271N06160,WP,MM,KATE,11.5,150.0,30,0,1945,9,30,1945/09/30 04:00:00+00
208924,208925,1945271N06160,WP,MM,KATE,11.8,149.5,30,0,1945,9,30,1945/09/30 04:00:00+00
208925,208926,1945271N06160,WP,MM,KATE,12.02,149.11,30,0,1945,9,30,1945/09/30 04:00:00+00
208926,208927,1945271N06160,WP,MM,KATE,12.27,148.8,32,0,1945,9,30,1945/09/30 04:00:00+00
208927,208928,1945271N06160,WP,MM,KATE,12.5,148.5,35,0,1945,9,30,1945/09/30 04:00:00+00
208928,208929,1945271N06160,WP,MM,KATE,12.7,148.12,35,0,1945,9,30,1945/09/30 04:00:00+00
208929,208930,1945271N06160,WP,MM,KATE,12.92,147.72,35,0,1945,9,30,1945/09/30 04:00:00+00
208930,208931,1945271N06160,WP,MM,KATE,13.2,147.38,35,0,1945,9,30,1945/09/30 04:00:00+00
208931,208932,1945271N06160,WP,MM,KATE,13.5,147.0,35,0,1945,10,1,1945/10/01 04:00:00+00
208932,208933,1945271N06160,WP,MM,KATE,13.8,146.53,37,0,1945,10,1,1945/10/01 04:00:00+00
208933,208934,1945271N06160,WP,MM,KATE,14.09,146.01,40,0,1945,10,1,1945/10/01 04:00:00+00
208934,208935,1945271N06160,WP,MM,KATE,14.39,145.5,42,0,1945,10,1,1945/10/01 04:00:00+00
208935,208936,1945271N06160,WP,MM,KATE,14.7,145.0,45,0,1945,10,1,1945/10/01 04:00:00+00
208936,208937,1945271N06160,WP,MM,KATE,15.04,144.5,45,0,1945,10,1,1945/10/01 04:00:00+00
208937,208938,1945271N06160,WP,MM,KATE,15.38,144.0,45,0,1945,10,1,1945/10/01 04:00:00+00
208938,208939,1945271N06160,WP,MM,KATE,15.69,143.52,47,0,1945,10,1,1945/10/01 04:00:00+00
208939,208940,1945271N06160,WP,MM,KATE,16.0,143.0,50,0,1945,10,2,1945/10/02 04:00:00+00
208940,208941,1945271N06160,WP,MM,KATE,16.34,142.42,50,0,1945,10,2,1945/10/02 04:00:00+00
208941,208942,1945271N06160,WP,MM,KATE,16.71,141.82,50,0,1945,10,2,1945/10/02 04:00:00+00
208942,208943,1945271N06160,WP,MM,KATE,17.14,141.26,52,0,1945,10,2,1945/10/02 04:00:00+00
208943,208944,1945271N06160,WP,MM,KATE,17.6,140.7,55,0,1945,10,2,1945/10/02 04:00:00+00
208944,208945,1945271N06160,WP,MM,KATE,18.04,140.06,55,0,1945,10,2,1945/10/02 04:00:00+00
208945,208946,1945271N06160,WP,MM,KATE,18.49,139.44,55,0,1945,10,2,1945/10/02 04:00:00+00
208946,208947,1945271N06160,WP,MM,KATE,18.97,138.96,55,0,1945,10,2,1945/10/02 04:00:00+00
208947,208948,1945271N06160,WP,MM,KATE,19.5,138.5,55,0,1945,10,3,1945/10/03 04:00:00+00
208948,208949,1945271N06160,WP,MM,KATE,20.11,137.91,55,0,1945,10,3,1945/10/03 04:00:00+00
208949,208950,1945271N06160,WP,MM,KATE,20.78,137.33,55,0,1945,10,3,1945/10/03 04:00:00+00
208950,208951,1945271N06160,WP,MM,KATE,21.45,136.88,55,0,1945,10,3,1945/10/03 04:00:00+00
208951,208952,1945271N06160,WP,MM,KATE,22.2,136.5,55,0,1945,10,3,1945/10/03 04:00:00+00
208952,208953,1945271N06160,WP,MM,KATE,23.06,136.07,55,0,1945,10,3,1945/10/03 04:00:00+00
208953,208954,1945271N06160,WP,MM,KATE,24.0,135.73,55,0,1945,10,3,1945/10/03 04:00:00+00
208954,208955,1945271N06160,WP,MM,KATE,24.99,135.56,57,0,1945,10,3,1945/10/03 04:00:00+00
208955,208956,1945271N06160,WP,MM,KATE,26.0,135.5,60,0,1945,10,4,1945/10/04 04:00:00+00
208956,208957,1945271N06160,WP,MM,KATE,27.0,135.41,60,0,1945,10,4,1945/10/04 04:00:00+00
208957,208958,1945271N06160,WP,MM,KATE,28.0,135.42,60,0,1945,10,4,1945/10/04 04:00:00+00
208958,208959,1945271N06160,WP,MM,KATE,29.0,135.57,60,0,1945,10,4,1945/10/04 04:00:00+00
208959,208960,1945271N06160,WP,MM,KATE,30.0,135.8,60,0,1945,10,4,1945/10/04 04:00:00+00
208960,208961,1945271N06160,WP,MM,KATE,31.0,135.99,60,0,1945,10,4,1945/10/04 04:00:00+00
208961,208962,1945271N06160,WP,MM,KATE,32.0,136.23,60,0,1945,10,4,1945/10/04 04:00:00+00
208962,208963,1945271N06160,WP,MM,KATE,33.01,136.56,60,0,1945,10,4,1945/10/04 04:00:00+00
208963,208964,1945271N06160,WP,MM,KATE,34.0,137.0,60,0,1945,10,5,1945/10/05 04:00:00+00
208964,208965,1945271N06160,WP,MM,KATE,35.13,137.41,55,0,1945,10,5,1945/10/05 04:00:00+00
208965,208966,1945271N06160,WP,MM,KATE,35.8,138.2,50,0,1945,10,5,1945/10/05 04:00:00+00
208966,208967,1945271N06160,WP,MM,KATE,34.97,139.96,42,0,1945,10,5,1945/10/05 04:00:00+00
208967,208968,1945271N06160,WP,MM,KATE,34.0,142.0,35,0,1945,10,5,1945/10/05 04:00:00+00
208968,208969,1945271N06160,WP,MM,KATE,34.25,143.71,32,0,1945,10,5,1945/10/05 04:00:00+00
208969,208970,1945271N06160,WP,MM,KATE,35.0,145.5,30,0,1945,10,5,1945/10/05 04:00:00+00
208970,208971,1945271N06160,WP,MM,KATE,35.78,147.56,27,0,1945,10,5,1945/10/05 04:00:00+00
232089,232090,1951177N12136,WP,MM,KATE,11.5,136.3,30,0,1951,6,25,1951/06/25 04:00:00+00
232090,232091,1951177N12136,WP,MM,KATE,11.55,135.9,30,0,1951,6,25,1951/06/25 04:00:00+00
232091,232092,1951177N12136,WP,MM,KATE,11.62,135.49,30,0,1951,6,25,1951/06/25 04:00:00+00
232092,232093,1951177N12136,WP,MM,KATE,11.7,135.08,30,0,1951,6,25,1951/06/25 04:00:00+00
232093,232094,1951177N12136,WP,MM,KATE,11.8,134.7,30,0,1951,6,26,1951/06/26 04:00:00+00
232094,232095,1951177N12136,WP,MM,KATE,11.9,134.38,32,0,1951,6,26,1951/06/26 04:00:00+00
232095,232096,1951177N12136,WP,MM,KATE,11.86,134.19,35,0,1951,6,26,1951/06/26 04:00:00+00
232096,232097,1951177N12136,WP,MM,KATE,11.84,133.93,35,0,1951,6,26,1951/06/26 04:00:00+00
232097,232098,1951177N12136,WP,MM,KATE,11.86,133.64,35,0,1951,6,26,1951/06/26 04:00:00+00
232098,232099,1951177N12136,WP,MM,KATE,11.96,133.34,37,0,1951,6,26,1951/06/26 04:00:00+00
232099,232100,1951177N12136,WP,MM,KATE,12.12,133.02,40,0,1951,6,26,1951/06/26 04:00:00+00
232100,232101,1951177N12136,WP,MM,KATE,12.3,132.74,40,0,1951,6,26,1951/06/26 04:00:00+00
232101,232102,1951177N12136,WP,MM,KATE,12.5,132.37,40,0,1951,6,27,1951/06/27 04:00:00+00
232102,232103,1951177N12136,WP,MM,KATE,12.74,131.76,42,0,1951,6,27,1951/06/27 04:00:00+00
232103,232104,1951177N12136,WP,MM,KATE,13.0,131.07,45,0,1951,6,27,1951/06/27 04:00:00+00
232104,232105,1951177N12136,WP,MM,KATE,13.24,130.45,45,0,1951,6,27,1951/06/27 04:00:00+00
232105,232106,1951177N12136,WP,MM,KATE,13.53,129.87,45,0,1951,6,27,1951/06/27 04:00:00+00
232106,232107,1951177N12136,WP,MM,KATE,13.96,129.28,47,0,1951,6,27,1951/06/27 04:00:00+00
232107,232108,1951177N12136,WP,MM,KATE,14.48,128.73,50,0,1951,6,27,1951/06/27 04:00:00+00
232108,232109,1951177N12136,WP,MM,KATE,15.08,128.24,50,0,1951,6,27,1951/06/27 04:00:00+00
232109,232110,1951177N12136,WP,MM,KATE,15.65,127.87,50,0,1951,6,28,1951/06/28 04:00:00+00
232110,232111,1951177N12136,WP,MM,KATE,16.05,127.65,52,0,1951,6,28,1951/06/28 04:00:00+00
232111,232112,1951177N12136,WP,MM,KATE,16.38,127.57,55,0,1951,6,28,1951/06/28 04:00:00+00
232112,232113,1951177N12136,WP,MM,KATE,16.73,127.62,57,0,1951,6,28,1951/06/28 04:00:00+00
232113,232114,1951177N12136,WP,MM,KATE,17.1,127.63,60,0,1951,6,28,1951/06/28 04:00:00+00
232114,232115,1951177N12136,WP,MM,KATE,17.51,127.38,62,0,1951,6,28,1951/06/28 04:00:00+00
232115,232116,1951177N12136,WP,MM,KATE,17.92,127.12,65,0,1951,6,28,1951/06/28 04:00:00+00
232116,232117,1951177N12136,WP,MM,KATE,18.3,127.03,67,0,1951,6,28,1951/06/28 04:00:00+00
232117,232118,1951177N12136,WP,MM,KATE,18.68,127.02,70,0,1951,6,29,1951/06/29 04:00:00+00
232118,232119,1951177N12136,WP,MM,KATE,19.02,126.97,72,0,1951,6,29,1951/06/29 04:00:00+00
232119,232120,1951177N12136,WP,MM,KATE,19.49,126.96,75,0,1951,6,29,1951/06/29 04:00:00+00
232120,232121,1951177N12136,WP,MM,KATE,20.24,126.99,75,0,1951,6,29,1951/06/29 04:00:00+00
232121,232122,1951177N12136,WP,MM,KATE,21.1,127.13,75,0,1951,6,29,1951/06/29 04:00:00+00
232122,232123,1951177N12136,WP,MM,KATE,21.88,127.45,75,0,1951,6,29,1951/06/29 04:00:00+00
232123,232124,1951177N12136,WP,MM,KATE,22.62,127.89,75,0,1951,6,29,1951/06/29 04:00:00+00
232124,232125,1951177N12136,WP,MM,KATE,23.26,128.4,75,0,1951,6,29,1951/06/29 04:00:00+00
232125,232126,1951177N12136,WP,MM,KATE,23.9,128.9,75,0,1951,6,30,1951/06/30 04:00:00+00
232126,232127,1951177N12136,WP,MM,KATE,24.64,129.32,75,0,1951,6,30,1951/06/30 04:00:00+00
232127,232128,1951177N12136,WP,MM,KATE,25.42,129.65,75,0,1951,6,30,1951/06/30 04:00:00+00
232128,232129,1951177N12136,WP,MM,KATE,26.17,129.88,77,0,1951,6,30,1951/06/30 04:00:00+00
232129,232130,1951177N12136,WP,MM,KATE,26.93,130.07,80,0,1951,6,30,1951/06/30 04:00:00+00
232130,232131,1951177N12136,WP,MM,KATE,27.7,130.28,82,0,1951,6,30,1951/06/30 04:00:00+00
232131,232132,1951177N12136,WP,MM,KATE,28.46,130.5,85,0,1951,6,30,1951/06/30 04:00:00+00
232132,232133,1951177N12136,WP,MM,KATE,29.21,130.73,92,0,1951,6,30,1951/06/30 04:00:00+00
232133,232134,1951177N12136,WP,MM,KATE,29.93,131.0,100,0,1951,7,1,1951/07/01 04:00:00+00
232134,232135,1951177N12136,WP,MM,KATE,30.58,131.34,100,0,1951,7,1,1951/07/01 04:00:00+00
232135,232136,1951177N12136,WP,MM,KATE,31.2,131.7,100,0,1951,7,1,1951/07/01 04:00:00+00
232136,232137,1951177N12136,WP,MM,KATE,31.82,131.99,95,0,1951,7,1,1951/07/01 04:00:00+00
232137,232138,1951177N12136,WP,MM,KATE,32.43,132.37,90,0,1951,7,1,1951/07/01 04:00:00+00
232138,232139,1951177N12136,WP,MM,KATE,33.03,132.95,85,0,1951,7,1,1951/07/01 04:00:00+00
232139,232140,1951177N12136,WP,MM,KATE,33.58,133.63,80,0,1951,7,1,1951/07/01 04:00:00+00
232140,232141,1951177N12136,WP,MM,KATE,34.09,134.18,75,0,1951,7,1,1951/07/01 04:00:00+00
232141,232142,1951177N12136,WP,MM,KATE,34.52,135.0,70,0,1951,7,2,1951/07/02 04:00:00+00
232142,232143,1951177N12136,WP,MM,KATE,34.84,136.46,65,0,1951,7,2,1951/07/02 04:00:00+00
232143,232144,1951177N12136,WP,MM,KATE,35.03,138.25,60,0,1951,7,2,1951/07/02 04:00:00+00
232144,232145,1951177N12136,WP,MM,KATE,35.04,139.97,55,0,1951,7,2,1951/07/02 04:00:00+00
232145,232146,1951177N12136,WP,MM,KATE,35.07,141.75,50,0,1951,7,2,1951/07/02 04:00:00+00
232146,232147,1951177N12136,WP,MM,KATE,35.33,143.67,45,0,1951,7,2,1951/07/02 04:00:00+00
232147,232148,1951177N12136,WP,MM,KATE,35.61,145.55,40,0,1951,7,2,1951/07/02 04:00:00+00
232148,232149,1951177N12136,WP,MM,KATE,35.7,147.18,35,0,1951,7,2,1951/07/02 04:00:00+00
232149,232150,1951177N12136,WP,MM,KATE,35.7,148.87,30,0,1951,7,3,1951/07/03 04:00:00+00
232150,232151,1951177N12136,WP,MM,KATE,35.65,151.69,0,0,1951,7,3,1951/07/03 04:00:00+00
232151,232152,1951177N12136,WP,MM,KATE,36.2,153.7,0,0,1951,7,3,1951/07/03 04:00:00+00
232152,232153,1951177N12136,WP,MM,KATE,37.24,154.99,0,0,1951,7,3,1951/07/03 04:00:00+00
252124,252125,1955259N10153,WP,MM,KATE,9.5,152.8,15,0,1955,9,16,1955/09/16 04:00:00+00
252125,252126,1955259N10153,WP,MM,KATE,9.56,152.35,15,0,1955,9,16,1955/09/16 04:00:00+00
252126,252127,1955259N10153,WP,MM,KATE,9.6,151.8,15,0,1955,9,16,1955/09/16 04:00:00+00
252127,252128,1955259N10153,WP,MM,KATE,9.6,151.08,17,0,1955,9,16,1955/09/16 04:00:00+00
252128,252129,1955259N10153,WP,MM,KATE,9.62,150.31,20,0,1955,9,16,1955/09/16 04:00:00+00
252129,252130,1955259N10153,WP,MM,KATE,9.71,149.59,22,0,1955,9,16,1955/09/16 04:00:00+00
252130,252131,1955259N10153,WP,MM,KATE,9.8,148.9,25,0,1955,9,17,1955/09/17 04:00:00+00
252131,252132,1955259N10153,WP,MM,KATE,9.85,148.23,25,0,1955,9,17,1955/09/17 04:00:00+00
252132,252133,1955259N10153,WP,MM,KATE,9.89,147.58,25,0,1955,9,17,1955/09/17 04:00:00+00
252133,252134,1955259N10153,WP,MM,KATE,9.94,146.92,25,0,1955,9,17,1955/09/17 04:00:00+00
252134,252135,1955259N10153,WP,MM,KATE,10.0,146.3,25,0,1955,9,17,1955/09/17 04:00:00+00
252135,252136,1955259N10153,WP,MM,KATE,10.09,145.78,30,0,1955,9,17,1955/09/17 04:00:00+00
252136,252137,1955259N10153,WP,MM,KATE,10.21,145.31,35,0,1955,9,17,1955/09/17 04:00:00+00
252137,252138,1955259N10153,WP,MM,KATE,10.4,144.89,35,0,1955,9,17,1955/09/17 04:00:00+00
252138,252139,1955259N10153,WP,MM,KATE,10.6,144.4,35,0,1955,9,18,1955/09/18 04:00:00+00
252139,252140,1955259N10153,WP,MM,KATE,10.74,143.7,35,0,1955,9,18,1955/09/18 04:00:00+00
252140,252141,1955259N10153,WP,MM,KATE,10.87,143.04,35,0,1955,9,18,1955/09/18 04:00:00+00
252141,252142,1955259N10153,WP,MM,KATE,11.08,142.41,35,0,1955,9,18,1955/09/18 04:00:00+00
252142,252143,1955259N10153,WP,MM,KATE,11.36,141.78,35,0,1955,9,18,1955/09/18 04:00:00+00
252143,252144,1955259N10153,WP,MM,KATE,11.74,141.16,35,0,1955,9,18,1955/09/18 04:00:00+00
252144,252145,1955259N10153,WP,MM,KATE,12.2,140.53,35,0,1955,9,18,1955/09/18 04:00:00+00
252145,252146,1955259N10153,WP,MM,KATE,12.69,139.85,35,0,1955,9,18,1955/09/18 04:00:00+00
252146,252147,1955259N10153,WP,MM,KATE,13.15,139.17,35,0,1955,9,19,1955/09/19 04:00:00+00
252147,252148,1955259N10153,WP,MM,KATE,13.52,138.54,35,0,1955,9,19,1955/09/19 04:00:00+00
252148,252149,1955259N10153,WP,MM,KATE,13.83,137.94,35,0,1955,9,19,1955/09/19 04:00:00+00
252149,252150,1955259N10153,WP,MM,KATE,14.11,137.32,35,0,1955,9,19,1955/09/19 04:00:00+00
252150,252151,1955259N10153,WP,MM,KATE,14.37,136.68,35,0,1955,9,19,1955/09/19 04:00:00+00
252151,252152,1955259N10153,WP,MM,KATE,14.65,136.03,35,0,1955,9,19,1955/09/19 04:00:00+00
252152,252153,1955259N10153,WP,MM,KATE,14.92,135.31,35,0,1955,9,19,1955/09/19 04:00:00+00
252153,252154,1955259N10153,WP,MM,KATE,15.16,134.45,42,0,1955,9,19,1955/09/19 04:00:00+00
252154,252155,1955259N10153,WP,MM,KATE,15.37,133.67,50,0,1955,9,20,1955/09/20 04:00:00+00
252155,252156,1955259N10153,WP,MM,KATE,15.52,133.17,50,0,1955,9,20,1955/09/20 04:00:00+00
252156,252157,1955259N10153,WP,MM,KATE,15.63,132.79,50,0,1955,9,20,1955/09/20 04:00:00+00
252157,252158,1955259N10153,WP,MM,KATE,15.71,132.36,55,0,1955,9,20,1955/09/20 04:00:00+00
252158,252159,1955259N10153,WP,MM,KATE,15.77,131.93,60,0,1955,9,20,1955/09/20 04:00:00+00
252159,252160,1955259N10153,WP,MM,KATE,15.82,131.5,62,0,1955,9,20,1955/09/20 04:00:00+00
252160,252161,1955259N10153,WP,MM,KATE,15.88,131.07,65,0,1955,9,20,1955/09/20 04:00:00+00
252161,252162,1955259N10153,WP,MM,KATE,15.98,130.66,65,0,1955,9,20,1955/09/20 04:00:00+00
252162,252163,1955259N10153,WP,MM,KATE,16.1,130.25,65,0,1955,9,21,1955/09/21 04:00:00+00
252163,252164,1955259N10153,WP,MM,KATE,16.23,129.83,72,0,1955,9,21,1955/09/21 04:00:00+00
252164,252165,1955259N10153,WP,MM,KATE,16.35,129.39,80,0,1955,9,21,1955/09/21 04:00:00+00
252165,252166,1955259N10153,WP,MM,KATE,16.41,128.94,85,0,1955,9,21,1955/09/21 04:00:00+00
252166,252167,1955259N10153,WP,MM,KATE,16.47,128.47,90,0,1955,9,21,1955/09/21 04:00:00+00
252167,252168,1955259N10153,WP,MM,KATE,16.57,127.95,90,0,1955,9,21,1955/09/21 04:00:00+00
252168,252169,1955259N10153,WP,MM,KATE,16.66,127.44,90,0,1955,9,21,1955/09/21 04:00:00+00
252169,252170,1955259N10153,WP,MM,KATE,16.73,126.99,100,0,1955,9,21,1955/09/21 04:00:00+00
252170,252171,1955259N10153,WP,MM,KATE,16.77,126.57,110,0,1955,9,22,1955/09/22 04:00:00+00
252171,252172,1955259N10153,WP,MM,KATE,16.79,126.16,115,0,1955,9,22,1955/09/22 04:00:00+00
252172,252173,1955259N10153,WP,MM,KATE,16.8,125.75,120,0,1955,9,22,1955/09/22 04:00:00+00
252173,252174,1955259N10153,WP,MM,KATE,16.78,125.33,120,0,1955,9,22,1955/09/22 04:00:00+00
252174,252175,1955259N10153,WP,MM,KATE,16.82,124.92,120,0,1955,9,22,1955/09/22 04:00:00+00
252175,252176,1955259N10153,WP,MM,KATE,16.95,124.54,125,0,1955,9,22,1955/09/22 04:00:00+00
252176,252177,1955259N10153,WP,MM,KATE,17.14,124.16,130,0,1955,9,22,1955/09/22 04:00:00+00
252177,252178,1955259N10153,WP,MM,KATE,17.31,123.78,130,0,1955,9,22,1955/09/22 04:00:00+00
252178,252179,1955259N10153,WP,MM,KATE,17.47,123.32,130,0,1955,9,23,1955/09/23 04:00:00+00
252179,252180,1955259N10153,WP,MM,KATE,17.62,122.69,122,0,1955,9,23,1955/09/23 04:00:00+00
252180,252181,1955259N10153,WP,MM,KATE,17.74,121.99,115,0,1955,9,23,1955/09/23 04:00:00+00
252181,252182,1955259N10153,WP,MM,KATE,17.77,121.31,107,0,1955,9,23,1955/09/23 04:00:00+00
252182,252183,1955259N10153,WP,MM,KATE,17.77,120.6,100,0,1955,9,23,1955/09/23 04:00:00+00
252183,252184,1955259N10153,WP,MM,KATE,17.75,119.87,100,0,1955,9,23,1955/09/23 04:00:00+00
